a rep network bll blc ans model.rnd network.rnd assign.rnd network.size metacog communicating ncond cond time.fac avg.degree node.id node.degree node.betweenness score items.taken msgs.sent msgs.rcvd msgs.answers msgs.truthful talkative avg.pathlen clust.global clust.avg betweenness nbhd.infavail nbhd.entropy post.nbhd.infavail post.nbhd.entropy
1 20011 RandomGraph 0.15802804 1.0 0.2 T T T 250 NIL T RandomGraph PULL 0.1 27.233791 207 28 0.011811134 133250.0 3.0 8.0 171.0 0.0 0.0 0.0 1.9351647 0.10762332 0.10767319 2.9956145 NA NA NA NA
1 20012 SmallWorld 0.23064956 1.0 0.2 T T T 25 T T SmallWorld PUSH 0.1 2.5122375 19 3 0.31754875 14250.0 2.0 6.0 48.0 1.0 1.0 0.2978656558315279 3.5866666 0.10714286 0.12 5.7381616 NA NA NA NA
1 20012 RandomGraph 0.6196813 1.0 0.2 T T T 25 NIL T RandomGraph PUSH 0.1 6.2526636 24 8 0.13081396 69000.0 9.0 45.0 284.0 0.0 0.0 0.0 1.81 0.28965518 0.3146645 2.3313954 NA NA NA NA
1 20012 Tree 0.21371603 1.0 0.2 T T T 25 T T Tree PUSH 0.1 4.6787734 20 1 0.0 11500.0 6.0 31.0 21.0 0.0 0.0 0.09669203781298175 3.436923 0.0 0.0 4.873846 NA NA NA NA
1 20012 SmallWorld 0.63877654 1.0 0.2 T T T 250 NIL T SmallWorld PUSH 0.1 56.0577 38 50 0.0062868926 331000.0 4.0 57.0 1786.0 1.0 0.0 0.0 1.7748433 0.2255447 0.22551839 1.9547653 NA NA NA NA
1 20012 SmallWorld 0.63877654 1.0 0.2 T T T 250 NIL T SmallWorld PUSH 0.1 56.0577 126 56 0.0075778356 348250.0 8.0 72.0 2291.0 1.0 0.0 0.0 1.7748433 0.2255447 0.22551839 1.9547653 NA NA NA NA
1 20012 Tree 0.63877654 1.0 0.2 T T T 250 NIL T Tree PUSH 0.1 56.0577 272 1 0.0 148000.0 11.0 103.0 47.0 0.0 0.0 0.0 3.2623188 0.0 0.0 4.5246377 NA NA NA NA
1 20012 SmallWorld 0.63877654 1.0 0.2 T T T 250 NIL T SmallWorld PULL 0.1 56.0577 199 58 0.008337881 350750.0 10.0 91.0 2046.0 1.0 1.0 0.0 1.7748433 0.22592781 0.2256989 1.9547391 NA NA NA NA
1 20012 Tree 0.63877654 1.0 0.2 T T T 250 NIL T Tree PULL 0.1 56.0577 128 1 0.0 165000.0 5.0 42.0 78.0 0.0 0.0 0.0 3.2623188 0.0 0.0 4.5246377 NA NA NA NA
1 20012 SmallWorld 0.5 1.0 0.2 T T T 250 NIL NIL NoCommunication PULL 0.1 2.3 138 3 0.21921182 8625.0 2.0 0.0 0.0 0.0 0.0 0.0 10.497799 0.0 0.0 20.00945 NA NA NA NA
1 20013 RandomGraph 0.5494734 1.0 0.2 T T T 250 T T RandomGraph PUSH 0.1 49.353874 68 54 0.009361242 290500.0 14.0 90.0 4169.0 1.0 1.0 0.013166788358390592 1.8011245 0.1969607 0.19718574 1.9560307 NA NA NA NA
1 20013 RandomGraph 0.5494734 1.0 0.2 T T T 250 T T RandomGraph PUSH 0.1 49.353874 154 53 0.008860598 270000.0 2.0 90.0 4012.0 0.0 0.0 0.1815372415212362 1.8011245 0.1969607 0.19718574 1.9560307 NA NA NA NA
1 20013 Tree 0.5494734 1.0 0.2 T T T 250 T T Tree PUSH 0.1 49.353874 217 1 0.0 68625.0 5.0 86.0 71.0 0.0 0.0 0.07524696542833835 3.3713956 0.0 0.0 4.742791 NA NA NA NA
1 20013 RandomGraph 0.5494734 1.0 0.2 T T T 250 NIL T RandomGraph PUSH 0.1 49.353874 126 45 0.00625458 302750.0 2.0 20.0 1172.0 1.0 0.0 0.0 1.8015422 0.198225 0.19831419 1.950532 NA NA NA NA
1 20014 Tree 0.45097372 1.0 0.2 T T T 25 NIL T Tree PUSH 0.1 4.1956415 1 4 1.2063493 38000.0 1.0 4.0 113.0 0.0 0.0 0.0 3.8730159 0.0 0.0 5.7460318 NA NA NA NA
1 20014 RandomGraph 0.34820712 1.0 0.2 T T T 250 T T RandomGraph PUSH 0.1 50.951218 47 58 0.009989032 223750.0 3.0 39.0 1868.0 0.0 0.0 0.26664300056963625 1.7950844 0.20565073 0.20560578 1.9515882 NA NA NA NA
1 20015 Tree 0.27537927 1.0 0.2 T T T 25 T T Tree PUSH 0.1 6.8649406 21 1 0.0 8125.0 0.0 11.0 7.0 1.0 0.0 0.75 3.108046 0.0 0.0 4.216092 NA NA NA NA
1 20015 RandomGraph 0.35656178 1.0 0.2 T T T 25 NIL T RandomGraph PUSH 0.1 5.1291037 2 5 0.07801419 24625.0 1.0 8.0 65.0 1.0 0.0 0.0 1.95 0.20972644 0.20736508 2.5957446 NA NA NA NA
1 20015 SmallWorld 0.49155143 1.0 0.2 T T T 250 T T SmallWorld PUSH 0.1 44.86427 25 47 0.008421073 345750.0 1.0 61.0 3061.0 0.0 0.0 0.75 1.8199518 0.18145426 0.18119664 1.9597253 NA NA NA NA
1 20015 SmallWorld 0.49155143 1.0 0.2 T T T 250 NIL T SmallWorld PULL 0.1 44.86427 126 39 0.0059312875 276750.0 3.0 4.0 884.0 0.0 0.0 0.0 1.8199518 0.17799382 0.17820592 1.9601165 NA NA NA NA
1 20016 RandomGraph 0.28282633 1.0 0.2 T T T 25 T T RandomGraph PUSH 0.1 2.999844 7 6 0.20344828 21750.0 3.0 36.0 114.0 1.0 1.0 0.1395152624442466 2.2066667 0.192 0.21795635 3.1827586 NA NA NA NA
1 20016 RandomGraph 0.28282633 1.0 0.2 T T T 25 T T RandomGraph PUSH 0.1 2.999844 16 6 0.21034482 24250.0 4.0 43.0 164.0 0.0 0.0 0.14653828199572977 2.2066667 0.192 0.21795635 3.1827586 NA NA NA NA
1 20016 SmallWorld 0.81283563 1.0 0.2 T T T 250 T T SmallWorld PUSH 0.1 39.14803 166 44 0.010053164 273750.0 2.0 121.0 5716.0 0.0 0.0 0.75 1.8441124 0.16012362 0.16013104 2.027249 NA NA NA NA
1 20016 RandomGraph 0.81283563 1.0 0.2 T T T 250 T T RandomGraph PUSH 0.1 39.14803 112 42 0.009391852 228250.0 3.0 144.0 5211.0 0.0 0.0 0.75 1.848996 0.15670036 0.15706293 2.1016037 NA NA NA NA
1 20016 SmallWorld 0.81283563 1.0 0.2 T T T 250 NIL T SmallWorld PUSH 0.1 39.14803 23 44 0.010208465 489750.0 2.0 49.0 4187.0 0.0 0.0 0.0 1.8446586 0.15715505 0.15741065 2.068972 NA NA NA NA
1 20016 Tree 0.81283563 1.0 0.2 T T T 250 NIL T Tree PULL 0.1 39.14803 200 1 0.0 109500.0 4.0 109.0 113.0 0.0 0.0 0.0 3.4499733 0.0 0.0 4.8999467 NA NA NA NA
1 20017 RandomGraph 0.062201023 1.0 0.2 T T T 250 T T RandomGraph PUSH 0.1 62.721233 83 57 0.0063754786 94250.0 1.0 8.0 837.0 2.0 1.0 0.20718884111751337 1.7485622 0.24903613 0.24928436 1.9581071 NA NA NA NA
1 20017 Tree 0.062201023 1.0 0.2 T T T 250 NIL T Tree PUSH 0.1 62.721233 139 1 0.0 44500.0 0.0 45.0 3.0 0.0 0.0 0.0 3.263472 0.0 0.0 4.526944 NA NA NA NA
1 20018 SmallWorld 0.09436665 1.0 0.2 T T T 25 T T SmallWorld PUSH 0.1 2.5662603 4 2 0.32608697 6500.0 0.0 10.0 28.0 1.0 0.0 0.75 3.6033332 0.13043478 0.07238095 5.8423915 NA NA NA NA
1 20018 SmallWorld 0.7804265 1.0 0.2 T T T 250 NIL T SmallWorld PUSH 0.1 25.658741 9 26 0.013046529 402625.0 3.0 45.0 2012.0 1.0 0.0 0.0 1.9591004 0.10164644 0.101662986 3.1238763 NA NA NA NA
1 20018 SmallWorld 0.7804265 1.0 0.2 T T T 250 NIL T SmallWorld PUSH 0.1 25.658741 28 26 0.012048854 409500.0 4.0 55.0 2098.0 1.0 0.0 0.0 1.9591004 0.10164644 0.101662986 3.1238763 NA NA NA NA
1 20018 RandomGraph 0.7804265 1.0 0.2 T T T 250 NIL T RandomGraph PUSH 0.1 25.658741 200 25 0.010662813 434375.0 9.0 90.0 1838.0 1.0 0.0 0.0 1.954988 0.104959905 0.10499792 3.1041048 NA NA NA NA
1 20018 Tree 0.7804265 1.0 0.2 T T T 250 NIL T Tree PUSH 0.1 25.658741 212 1 0.0 78000.0 7.0 83.0 24.0 0.0 0.0 0.0 3.629903 0.0 0.0 5.259806 NA NA NA NA
1 20018 SmallWorld 0.5 1.0 0.2 T T T 250 NIL NIL NoCommunication PULL 0.1 2.3 158 2 0.025791138 13125.0 10.0 0.0 0.0 0.0 0.0 0.0 10.050731 0.0 0.0 19.084282 NA NA NA NA
1 20019 RandomGraph 0.35895178 1.0 0.2 T T T 25 NIL T RandomGraph PUSH 0.1 3.8007655 16 4 0.071969695 20750.0 3.0 14.0 36.0 0.0 0.0 0.0 2.2333333 0.1764706 0.20334713 3.121212 NA NA NA NA
1 20019 RandomGraph 0.51795214 1.0 0.2 T T T 25 NIL T RandomGraph PULL 0.1 5.8669662 11 3 0.035426732 51250.0 20.0 61.0 93.0 0.0 0.0 0.0 1.99 0.27055702 0.29565078 2.7375202 NA NA NA NA
1 20019 Tree 0.33258706 1.0 0.2 T T T 25 NIL T Tree PULL 0.1 3.7980509 2 4 0.92877495 14625.0 3.0 15.0 43.0 0.0 0.0 0.0 3.8290598 0.0 0.0 5.6581197 NA NA NA NA
1 20020 SmallWorld 0.41981098 1.0 0.2 T T T 25 NIL T SmallWorld PULL 0.1 4.446833 14 5 0.14238411 35625.0 10.0 24.0 88.0 0.0 0.0 0.0 2.2066667 0.18103448 0.19619048 3.218543 NA NA NA NA
1 20020 Tree 0.51883334 1.0 0.2 T T T 25 NIL T Tree PULL 0.1 3.3176494 14 1 0.0 18625.0 8.0 18.0 46.0 0.0 0.0 0.0 4.079772 0.0 0.0 6.159544 NA NA NA NA
1 20020 RandomGraph 0.4829319 1.0 0.2 T T T 250 T T RandomGraph PUSH 0.1 61.363163 187 60 0.0075132833 351750.0 3.0 75.0 4052.0 0.0 0.0 0.17373449023792978 1.7556305 0.24445702 0.24439687 1.957258 NA NA NA NA
1 20020 RandomGraph 0.4829319 1.0 0.2 T T T 250 NIL T RandomGraph PUSH 0.1 61.363163 125 61 0.0075698295 238750.0 3.0 12.0 1038.0 2.0 0.0 0.0 1.75049 0.24912569 0.24920939 1.9577981 NA NA NA NA
1 20020 Tree 0.4829319 1.0 0.2 T T T 250 NIL T Tree PULL 0.1 61.363163 233 1 0.0 105125.0 5.0 42.0 4.0 0.0 0.0 0.0 3.2623546 0.0 0.0 4.524709 NA NA NA NA
1 20021 RandomGraph 0.52399665 1.0 0.2 T T T 25 NIL T RandomGraph PULL 0.1 3.1753082 6 2 0.05839416 39875.0 3.0 17.0 83.0 0.0 0.0 0.0 2.6449275 0.03125 0.033333335 3.7956204 NA NA NA NA
1 20021 SmallWorld 0.47984305 1.0 0.2 T T T 250 T T SmallWorld PUSH 0.1 33.065086 232 32 0.007997351 318375.0 2.0 74.0 1934.0 0.0 0.0 0.16650054978235135 1.8782972 0.1336134 0.13369602 2.4199734 NA NA NA NA
1 20021 SmallWorld 0.47984305 1.0 0.2 T T T 250 NIL T SmallWorld PUSH 0.1 33.065086 174 34 0.010527516 265250.0 8.0 41.0 812.0 1.0 0.0 0.0 1.8771085 0.13294384 0.1331261 2.404315 NA NA NA NA
